dispenser,bottle,time,fill_level_grams,recipe,vibration-index
green,1710,1720821210,488.29408740828535,24,187.65976950393903
green,1711,1720821214,480.8522583005675,24,193.7877247812595
green,1712,1720821218,473.6491014973915,24,198.3349741646144
green,1713,1720821222,467.10903873135004,24,188.1935093011336
green,1714,1720821226,459.98623507237807,24,188.44140011680457
green,1715,1720821230,452.74303770842783,24,189.8822467772318
green,1716,1720821234,445.3844211114087,24,189.31413568957737
green,1807,1720821598,628.0615151879806,24,187.70825802963788
