dispenser,bottle,time,fill_level_grams,recipe,vibration-index
red,1712,1720821210,618.8679356603997,24,279.4175614007912
red,1713,1720821214,609.1146099248568,24,273.1582050576332
red,1714,1720821218,598.8427476042527,24,273.7763226230716
red,1715,1720821222,586.9177167394655,24,281.62527673157894
red,1716,1720821226,577.156072660152,24,275.1801999173046
red,1717,1720821230,567.661026325448,24,278.8279207709848
red,1718,1720821234,557.4082572882506,24,277.03123247470205
red,1809,1720821598,0.0,24,10.371586926373418
