dispenser,bottle,time,fill_level_grams,recipe,vibration-index
blue,1711,1720821210,245.43488248145556,24,21.045079262261858
blue,1712,1720821214,244.66484834805,24,31.6692060621098
blue,1713,1720821218,243.94598698430724,24,31.001240839045128
blue,1714,1720821222,243.18570214400054,24,30.75451486943812
blue,1715,1720821226,242.48899387880581,24,31.406855051642566
blue,1716,1720821230,241.65176309987405,24,33.496554775522256
blue,1717,1720821234,241.0881764605322,24,23.74561483456925
blue,1808,1720821598,170.35772489383504,24,28.138651446183108
